name,tuition,grades,address,religion,state,scraped_at
Temple College Preparatory School,5500.0,PK-12,"1766 West 17th Street
Jacksonville, FL 32209
(904) 598-0078",,Florida,2025-02-13T17:25:16.026429
Resurrection Catholic School,5600.0,PK-8,"5710 Jack Rd
Jacksonville, FL 32277
(904) 744-1266",Catholic,Florida,2025-02-13T17:25:16.026429
First Baptist Of East Bay / East Bay Christian,5700.0,PK-12,"10102 Old Big Bend Road
Riverview, FL 33578
(813) 677-5236",Baptist,Florida,2025-02-13T17:25:16.026429
Largo Christian School,5700.0,PK-12,"11633 137th Street North
Largo, FL 33774
(727) 517-2153",Church of the Nazarene,Florida,2025-02-13T17:25:16.026429
Trinity Christian School,5700.0,K-5,"3901 N.E. 22 Avenue
Pompano Beach, FL 33064
(954) 941-8033",Christian,Florida,2025-02-13T17:25:16.027431
Glendale Christian School,5800.0,PK-8,"790 27th Ave
Vero Beach, FL 32968
(772) 569-1095",Baptist,Florida,2025-02-13T17:25:16.027431
Lake City Christian Academy,5800.0,PK-12,"3035 SW Pinemount Road
Lake City, FL 32024
(386) 758-0055",,Florida,2025-02-13T17:25:16.027431
Victory Preparatory School,5800.0,K-12,"110 Masters Dr
Saint Augustine, FL 32084
(904) 810-0535",,Florida,2025-02-13T17:25:16.027431
St. Brendan Catholic School,5820.0,PK-8,"1000 Ocean Shore Blvd
Ormond Beach, FL 32176
(386) 441-1331",Catholic,Florida,2025-02-13T17:25:16.027933
West Palm Beach Junior Academy,5890.0,PK-8,"6300 Summit Blvd
West Palm Beach, FL 33415
(561) 689-9575",Seventh Day Adventist,Florida,2025-02-13T17:25:16.027933
Faith Lutheran School,5940.0,PK-8,"293 Hialeah Drive
Hialeah, FL 33010
(305) 885-2845",Lutheran Church Missouri Synod,Florida,2025-02-13T17:25:16.027933
Brush Arbor Christian School,6000.0,PK-12,"2304 N Goldenrod Rd
Orlando, FL 32807
(407) 671-9774",Baptist,Florida,2025-02-13T17:25:16.027933
Ebenezer Christian School,6000.0,K-12,"530 SW 1ST STREET
Homestead, FL 33034
(305) 394-9494",Christian,Florida,2025-02-13T17:25:16.027933
Faith Baptist Academy,6000.0,PK-11,"6950 Royal Palm Blvd
Pompano Beach, FL 33063
(954) 974-2504",Baptist,Florida,2025-02-13T17:25:16.027933
First Baptist Christian Academy,6000.0,PK-12,"201 E. Moody Blvd.
Bunnell, FL 32110
(386) 446-0094",Baptist,Florida,2025-02-13T17:25:16.027933
First United Methodist Christian School,6000.0,PK-8,"622 North Krome Avenue
Homestead, FL 33030
(305) 248-7992",Methodist,Florida,2025-02-13T17:25:16.027933
Incarnation Catholic School,6000.0,PK-8,"5111 Webb Rd
Tampa, FL 33615
(813) 884-4502",Catholic,Florida,2025-02-13T17:25:16.028934
Lively Stones For Jesus School Of The Future,6000.0,3-12,"835 NW 119TH ST
Miami, FL 33168
(305) 685-7739",Christian,Florida,2025-02-13T17:25:16.028934
Okeechobee Adventist Christian School,6000.0,1-7,"412 NW 6th St
Okeechobee, FL 34973
(863) 610-1291",Seventh Day Adventist,Florida,2025-02-13T17:25:16.028934
Redeemer Lutheran School,6000.0,K-8,"2450 SE Ocean Blvd
Stuart, FL 34996
(772) 286-0932",Lutheran Church Missouri Synod,Florida,2025-02-13T17:25:16.028934
St. John's Academy,6000.0,K-8,"1533 Wildwood Drive
Saint Augustine, FL 32086
(904) 824-9224",Christian,Florida,2025-02-13T17:25:16.028934
Trinity Christian Academy,6000.0,1-12,"1498 W 84th St
Hialeah, FL 33014
(305) 819-8999",Christian,Florida,2025-02-13T17:25:16.028934
Trinity Lutheran Academy,6000.0,K-8,"110 SW 11th Street
Fort Lauderdale, FL 33315
(954) 463-7471",Lutheran Church Missouri Synod,Florida,2025-02-13T17:25:16.028934
Wade Christian Academy,6000.0,NS-12,"4300 N Wickham
Melbourne, FL 32935
(321) 259-6788",Baptist,Florida,2025-02-13T17:25:16.028934
Adventure Christian Academy,6100.0,PK-3,"3800 State Road 19
Tavares, FL 32778
(352) 343-9020",Christian,Florida,2025-02-13T17:25:16.029935
Faith Christian Academy,6100.0,PK-12,"175 Spring Time St
Spring Hill, FL 34608
(352) 686-9350",Baptist,Florida,2025-02-13T17:25:16.029935
,,,,,Florida,2025-02-13T17:25:16.029935
Libertas Academy,6100.0,K-8,"6718 E. Fowler Ave.
Tampa, FL 33617
(813) 964-1779",Christian,Florida,2025-02-13T17:25:17.104706
Sacred Heart School,6100.0,PK-8,"410 North M Street
Lake Worth, FL 33460
(561) 582-2242",Catholic,Florida,2025-02-13T17:25:17.104706
International Community School,6150.0,PK-12,"4800 Howell Branch Road
Winter Park, FL 32792
(407) 645-2343",Christian,Florida,2025-02-13T17:25:17.105707
East Atlantic Prep of Brevard County,6200.0,K-12,"3815 Curtis Blvd
Cocoa, FL 32927
(321) 474-3990",Christian,Florida,2025-02-13T17:25:17.105707
Missionary Christian Academy,6200.0,K-12,"10902 N. Armenia Avenue
Tampa, FL 33612
(813) 545-5232",Pentecostal,Florida,2025-02-13T17:25:17.105707
Shepherd Of The Coast Lutheran School,6200.0,K-8,"1901 E Commercial Blvd
Fort Lauderdale, FL 33308
(954) 772-5468",Lutheran Church Missouri Synod,Florida,2025-02-13T17:25:17.105707
Faith Preparatory School,6250.0,PK-K,"12100 Sw Academy Dr
Arcadia, FL 34269
(941) 743-0098",Christian,Florida,2025-02-13T17:25:17.106208
Warner Christian Academy,6259.0,PK-12,"1730 S Ridgewood Avenue
Daytona Beach, FL 32119
(386) 767-5451",Christian,Florida,2025-02-13T17:25:17.106208
Family Christian Academy Orlando,6300.0,K-12,"15060 Old Cheney Hwy
Orlando, FL 32828
(407) 568-9837",Christian,Florida,2025-02-13T17:25:17.106208
Rockledge Christian School,6300.0,PK-6,"2175 Fiske Blvd
Rockledge, FL 32955
(321) 632-6966",Pentecostal,Florida,2025-02-13T17:25:17.106208
MECE Preschool,6400.0,PK,"625 NE Mizner Blvd
Boca Raton, FL 33432
(561) 368-1215",Methodist,Florida,2025-02-13T17:25:17.106710
City Of Life Christian Academy,6470.0,PK-12,"2874 E Irlo Bronson Memorial Hwy
Kissimmee, FL 34744
(407) 847-5184",Christian,Florida,2025-02-13T17:25:17.106710
On Track School,6475.0,K-12,"1845 S Palmetto Ave
Daytona Beach, FL 32119
(951) 223-6787",,Florida,2025-02-13T17:25:17.106710
Calvary Chapel Academy,6500.0,PK-12,"2955 Minton Road
Melbourne, FL 32904
(321) 729-9922",Christian,Florida,2025-02-13T17:25:17.106710
The Classical Academy Of Sarasota,6500.0,PK-12,"8751 Fruitville Rd
Sarasota, FL 34240
(941) 925-2153",,Florida,2025-02-13T17:25:17.107284
Cornerstone Christian School,6500.0,PK-12,"9039 Beach Blvd.
Jacksonville, FL 32216
(904) 730-5500",Christian,Florida,2025-02-13T17:25:17.107284
Montessori Learning Center,6500.0,PK-K,"14092 Sw 84th Street
Miami, FL 33183
(305) 388-9016",,Florida,2025-02-13T17:25:17.107284
Muslim Academy Of Greater Orlando,6500.0,PK-8,"11551 Ruby Lake Road
Orlando, FL 32836
(407) 238-0144",Islamic,Florida,2025-02-13T17:25:17.107284
One Accord Christian Academy,6500.0,K-12,"7301 Edgewater Drive
Orlando, FL 32810
(407) 523-3002",Christian,Florida,2025-02-13T17:25:17.107284
Paideia Classical Academy,6500.0,PK-12,"2370 Hammock Blvd.
Pompano Beach, FL 33063
(954) 974-1121",,Florida,2025-02-13T17:25:17.107284
Peace Lutheran School,6500.0,PK-12,"3249 Windmill Point Blvd
Kissimmee, FL 34746
(407) 870-5965",Other Lutheran,Florida,2025-02-13T17:25:17.107284
Riverland Christian Academy,6500.0,PK-12,"19455 SW 61st St
Dunnellon, FL 34432
(352) 489-6177",Baptist,Florida,2025-02-13T17:25:17.107284
Sharon School Of Excellence,6500.0,K-11,"6741 Pembroke Rd
Hollywood, FL 33023
(954) 391-6080",Christian,Florida,2025-02-13T17:25:17.108285
South Florida School of Excellence,6500.0,PK-12,"780 Fisherman Street Floor 2nd and 3rd
Opa Locka, FL 33054
(754) 204-3738",,Florida,2025-02-13T17:25:17.108285
Apopka Christian Academy,6550.0,K-12,"509 S Park Ave
Apopka, FL 32703
(407) 949-7997",Christian,Florida,2025-02-13T17:25:17.108285
Children S Rainbow Day School,6550.0,PK-8,"22940 Old Dixie Highway
Miami, FL 33170
(305) 323-9593",Christian,Florida,2025-02-13T17:25:17.108285
Daytona Beach Christian Academy,6600.0,K-12,"1850 S Clyde Morris Blvd
Daytona Beach, FL 32119
(386) 760-4808",Christian,Florida,2025-02-13T17:25:17.108786
Harvest Time Christian School,6600.0,NS-12,"1511 S Us Highway 301
Tampa, FL 33619
(813) 626-4600",Christian,Florida,2025-02-13T17:25:17.108786
Lutheran Church Of The Cross Day School,6600.0,PK-8,"4400 Chancellor St Ne
Saint Petersburg, FL 33703
(727) 522-8331","Evangelical Lutheran Church in America (formerly AELC, ALC, or LCA",Florida,2025-02-13T17:25:17.108786
Mulberry Christian Academy,6600.0,PK-12,"200 Dean Street
Mulberry, FL 33860
(863) 425-1241",Church of God,Florida,2025-02-13T17:25:17.108786
Palm Bay S.D.A. School,6600.0,K-8,"3507 Carriage Gate Drive
Melbourne, FL 32904
(321) 733-4551",Seventh Day Adventist,Florida,2025-02-13T17:25:17.108786
Immaculate Conception School,6650.0,PK-8,"125 W 45th Street
Hialeah, FL 33012
(786) 258-3811",Catholic,Florida,2025-02-13T17:25:17.108786
St. Stephen Catholic School,6690.0,PK-8,"10424 Saint Stephen Circle
Riverview, FL 33569
(813) 741-9203",Catholic,Florida,2025-02-13T17:25:17.108786
USA Academics,6700.0,6-12,"2813 Executive Park Dr, Suite 132
Fort Lauderdale, FL 33331
(954) 607-5888",Christian,Florida,2025-02-13T17:25:17.108786
Downey Christian School,6750.0,K-12,"10201 E Colonial Dr
Orlando, FL 32817
(407) 275-0340",Christian,Florida,2025-02-13T17:25:17.108786
St. Thomas Aquinas Catholic School,6750.0,PK-8,"800 Brown Chapel Road
Saint Cloud, FL 34769
(407) 957-1772",Catholic,Florida,2025-02-13T17:25:17.109792
Worshiper's House Of Prayer Academy,6750.0,K-8,"8350 NW 7th Avenue
Miami, FL 33150
(305) 200-3245",Pentecostal,Florida,2025-02-13T17:25:17.109792
First Coast Christian School,6800.0,PK-12,"7587 Blanding Blvd.
Jacksonville, FL 32244
(904) 777-3040",Baptist,Florida,2025-02-13T17:25:17.109792
Ocala Christian Academy,6800.0,PK-12,"1714 Se 36th Avenue
Ocala, FL 34471
(352) 694-4178",Baptist,Florida,2025-02-13T17:25:17.110294
Sunrise Academy,6800.0,PK-12,"2700 Enterprise Rd
Orange City, FL 32763
(386) 775-7866",Christian,Florida,2025-02-13T17:25:17.110294
Cooper City Christian Academy,6850.0,K-12,"5201 S Flamingo Road
Fort Lauderdale, FL 33330
(954) 680-0850",Pentecostal,Florida,2025-02-13T17:25:17.110294
New Beginnings Christian Academy,6850.0,K-12,"7020 Ramona Blvd
Jacksonville, FL 32205
(904) 786-3178",Pentecostal,Florida,2025-02-13T17:25:17.110294
Bishop Larkin Catholic School,6890.0,PK-8,"8408 Monarch Dr
Port Richey, FL 34668
(727) 862-6981",Catholic,Florida,2025-02-13T17:25:17.110294
Faith Christian Academy,6900.0,K-12,"1324-D Kingsley Ave
Orange Park, FL 32073
(904) 276-1300",Christian,Florida,2025-02-13T17:25:17.110294
Incarnation Catholic School,6900.0,PK-8,"2911 Bee Ridge Rd
Sarasota, FL 34239
(941) 924-8588",Catholic,Florida,2025-02-13T17:25:17.110294
Ivy League Academy,6900.0,K-8,"765 S.W. Dalton Circle
Jensen Beach, FL 34957
(772) 878-5743",,Florida,2025-02-13T17:25:17.110294
Nicaea Academy,6900.0,PK-12,"14785 Collier Blvd
Naples, FL 34119
(239) 353-9099",Christian,Florida,2025-02-13T17:25:17.110294
St. Ann School,6900.0,PK-8,"324 N Olive Avenue
West Palm Beach, FL 33401
(256) 353-6543",Catholic,Florida,2025-02-13T17:25:17.110294
Seamark Ranch,6900.0,6-12,"3631 Seamark Ranch Rd
Green Cove Springs, FL 32043
(904) 531-7080",Christian,Florida,2025-02-13T17:25:17.110294
Pensacola Private School of Liberal Arts,6925.0,7-12,"301 E. Gadsden St.
Pensacola, FL 32501
(850) 434-2294",,Florida,2025-02-13T17:25:17.110294
Annunciation Catholic Academy,7000.0,PK-8,"593 Jamestown Blvd
Altamonte Springs, FL 32714
(140) 777-4280",Catholic,Florida,2025-02-13T17:25:17.111799
The Blake School Of Plantation,7000.0,PK-8,"7011 W Sunrise Blvd
Fort Lauderdale, FL 33313
(954) 584-6816",,Florida,2025-02-13T17:25:17.111799
Christ Classical Academy,7000.0,PK-10,"2205 Thomasville Rd
Tallahassee, FL 32308
(850) 656-2373",Christian,Florida,2025-02-13T17:25:17.111799
Christian Life Academy Of Lee County,7000.0,K-8,"1200 Sw 20th Ave
Cape Coral, FL 33991
(239) 283-1022",Christian,Florida,2025-02-13T17:25:17.111799
Elfers Christian School,7000.0,NS-12,"5630 Olympia St
New Port Richey, FL 34652
(727) 845-0235",Baptist,Florida,2025-02-13T17:25:17.112304
Good Shepherd Academy,7000.0,PK-8,"750 Howland Blvd
Deltona, FL 32738
(407) 504-9745",Wisconsin Evangelical Lutheran Synod,Florida,2025-02-13T17:25:17.112304
Heritage Christian School,7000.0,5-12,"Kitterman Road & US 1, Suite 1
Port Saint Lucie, FL 34952
(772) 405-7077",Pentecostal,Florida,2025-02-13T17:25:17.112304
Lake Placid E-Learning Lab,7000.0,2-12,"500 E. Interlake Blvd. #500
Lake Placid, FL 33852
(863) 464-0559",,Florida,2025-02-13T17:25:17.112304
Land O' Lakes Christian School,7000.0,NS-12,"5105 School Rd
Land O Lakes, FL 34638
(813) 995-9040",Baptist,Florida,2025-02-13T17:25:17.112304
Liberty Christian School,7000.0,PK-12,"2626 S Palmetto Ave
Sanford, FL 32773
(407) 323-1583",Baptist,Florida,2025-02-13T17:25:17.112304
New Horizons Country Day School,7000.0,PK-4,"2060 Nebraska Avenue
Palm Harbor, FL 34683
(727) 785-8591",,Florida,2025-02-13T17:25:17.112304
Okeechobee Christian Academy,7000.0,K-12,"701 S Parrott Ave
Okeechobee, FL 34974
(863) 763-3072",Christian,Florida,2025-02-13T17:25:17.112304
St. Joseph Catholic School,7010.0,PK-8,"2990 26th St W
Bradenton, FL 34205
(941) 755-2611",Catholic,Florida,2025-02-13T17:25:17.113309
West Oaks Academy,7020.0,K-12,"8624 A D Mims Road
Orlando, FL 32818
(321) 352-7711",Church of God,Florida,2025-02-13T17:25:17.113309
First Lutheran School,7030.0,PK-8,"1644 Nursery Rd
Clearwater, FL 33756
(727) 462-8000",Lutheran Church Missouri Synod,Florida,2025-02-13T17:25:17.113309
The Christian Classical Academy of Naples,7100.0,PK-8,"3073 Horseshoe Dr S
Naples, FL 34104
(239) 227-2838",Christian,Florida,2025-02-13T17:25:17.113309
Solid Rock Christian School,7120.0,PK-12,"21951 U S Hwy 441
Mount Dora, FL 32756
(352) 735-5777",Christian,Florida,2025-02-13T17:25:17.113309
American Youth Academy,7200.0,PK-12,"5905 E 130th Avenue
Tampa, FL 33617
(813) 987-9282",Islamic,Florida,2025-02-13T17:25:17.113309
Bluffs School,7200.0,NS,"1430 Marcinski Road
Jupiter, FL 33477
(561) 775-1430",,Florida,2025-02-13T17:25:17.113309
St. Elizabeth Seton School,7230.0,PK-8,"2730 53rd Terrace SW
Naples, FL 34116
(239) 455-2262",Catholic,Florida,2025-02-13T17:25:17.113309
Orlando Christian Prep,7250.0,PK-12,"500 S Semoran Blvd
Orlando, FL 32807
(407) 823-9744",Baptist,Florida,2025-02-13T17:25:17.113309
Azalea Park Baptist School,7260.0,PK-12,"5725 Dahlia Dr
Orlando, FL 32807
(407) 277-4056",Baptist,Florida,2025-02-13T17:25:17.114382
Chosen Generation Christian Academy,7275.0,1-12,"4906 Old Pleasant Hill Rd
Kissimmee, FL 34759
(407) 870-2389",Pentecostal,Florida,2025-02-13T17:25:17.114382
Champagnat Catholic School,7300.0,6-12,"1851 Palm Avenue
Hialeah, FL 33010
(305) 888-3760",Catholic,Florida,2025-02-13T17:25:17.114382
Citrus Heights Academy,7300.0,K-12,"101 S Grand Hwy
Clermont, FL 34711
(352) 394-4715",Church of the Nazarene,Florida,2025-02-13T17:25:17.114382
Aletheia Christian Academy,7310.0,PK-12,"1700 Woodchuck Ave
Pensacola, FL 32504
(850) 969-0088",Christian,Florida,2025-02-13T17:25:17.114903
St. Clare School,7350.0,PK-8,"821 Prosperity Farms Rd
North Palm Beach, FL 33408
(561) 622-7171",Catholic,Florida,2025-02-13T17:25:17.114903
Trinity Christian School,7390.0,PK-12,"1022 S Orange Blossom Trl
Apopka, FL 32703
(407) 886-0212",Baptist,Florida,2025-02-13T17:25:17.114903
Colonial Christian School,7400.0,PK-12,"17105 SW 296th Street
Homestead, FL 33030
(305) 246-8608",Baptist,Florida,2025-02-13T17:25:17.114903
Faith Christian Academy Of Plant City,7400.0,K-12,"2402 Mud Lake Road
Plant City, FL 33566
(813) 473-2090",Pentecostal,Florida,2025-02-13T17:25:17.115406
Life Primary School,7400.0,PK-8,"6001 Deltona Blvd.
Brooksville, FL 34601
(352) 488-8850",Christian,Florida,2025-02-13T17:25:17.115406
Montessori Academy,7400.0,PK-8,"19200 Pines Blvd.
Hollywood, FL 33029
(954) 435-4622",,Florida,2025-02-13T17:25:17.115406
New Hope Lutheran Academy,7400.0,K-8,"870 Hollywood Blvd
Melbourne, FL 32904
(321) 768-1500",Wisconsin Evangelical Lutheran Synod,Florida,2025-02-13T17:25:17.115406
St. Vincent Ferrer,7400.0,PK-8,"810 George Bush Blvd
Delray Beach, FL 33483
(561) 278-3868",Catholic,Florida,2025-02-13T17:25:17.115909
Altamonte Christian School,7500.0,PK-12,"601 Palm Springs Drive
Altamonte Springs, FL 32701
(407) 831-0950",Baptist,Florida,2025-02-13T17:25:17.115909
Atlantic Christian Academy Of The Palm Beac,7500.0,PK-12,"4900 Summit Blvd
West Palm Beach, FL 33415
(561) 686-8081",Christian,Florida,2025-02-13T17:25:17.115909
Baymeadows Christian Academy,7500.0,NS-8,"4826 Baymeadows Rd
Jacksonville, FL 32217
(904) 733-3400",Baptist,Florida,2025-02-13T17:25:17.115909
Christian Heritage Academy,7500.0,K-12,"817 Dixon Blvd Ste 10a
Cocoa, FL 32922
(321) 454-2445",Christian,Florida,2025-02-13T17:25:17.115909
Christian Life Academy,7500.0,K-12,"12000 Sw Archer Rd
Gainesville, FL 32608
(352) 495-3040",Pentecostal,Florida,2025-02-13T17:25:17.115909
Classical Christian School For The Arts,7500.0,K-12,"6500 102nd Ave N
Pinellas Park, FL 33782
(727) 547-6820",Christian,Florida,2025-02-13T17:25:17.115909
The Cornerstone School,7500.0,PK-8,"2313 SE Lake Weir Avenue
Ocala, FL 34471
(352) 351-8840",,Florida,2025-02-13T17:25:17.115909
Deeper Root Academy,7500.0,PK-8,"8001 Silver Star Road
Orlando, FL 32818
(484) 321-6957",Christian,Florida,2025-02-13T17:25:17.115909
Discovery Academy,7500.0,K-8,"227 N Ridgewood Ave
Edgewater, FL 32132
(386) 428-0860",,Florida,2025-02-13T17:25:17.115909
Jacksonville Christian Academy,7500.0,1-12,"11697 Normandy Blvd
Jacksonville, FL 32221
(904) 783-2818",Christian,Florida,2025-02-13T17:25:17.115909
Lake Park Baptist School,7500.0,PK-8,"625 Park Ave
West Palm Beach, FL 33403
(561) 844-2747",Baptist,Florida,2025-02-13T17:25:17.115909
Liberty Christian Prep School,7500.0,PK-12,"2451 Dora Ave
Tavares, FL 32778
(352) 343-0061",,Florida,2025-02-13T17:25:17.115909
Our Lady Of The Rosary School,7500.0,PK-4,"10701 S.W. 95th Street
Miami, FL 33176
(305) 271-8389",Catholic,Florida,2025-02-13T17:25:17.117412
St. Luke Catholic School,7500.0,PK-8,"2892 South Congress Ave
Lake Worth, FL 33461
(561) 965-8190",Catholic,Florida,2025-02-13T17:25:17.117412
Victory Academy,7500.0,K-9,"10301 E Colonial Dr
Orlando, FL 32817
(407) 484-1757",,Florida,2025-02-13T17:25:17.117412
St. John's Christian School,7540.0,NS,"1800 Cypress Gardens Blvd
Winter Haven, FL 33884
(863) 326-1638",Methodist,Florida,2025-02-13T17:25:17.117412
,,,,,Florida,2025-02-13T17:25:17.117412
Our Savior Lutheran School,7600.0,NS-8,"8001 Nw 5th St
Fort Lauderdale, FL 33324
(954) 370-2161",Lutheran Church Missouri Synod,Florida,2025-02-13T17:25:18.189618
St. Joseph Catholic School,7600.0,PK-8,"11600 Old Saint Augustine Road
Jacksonville, FL 32258
(904) 268-6688",Catholic,Florida,2025-02-13T17:25:18.189618
Trinity Christian Academy,7615.0,PK-12,"875 Elkcam Blvd
Deltona, FL 32725
(386) 789-4515",Assembly of God,Florida,2025-02-13T17:25:18.189618
Epiphany Cathedral School,7650.0,PK-8,"316 Sarasota Street
Venice, FL 34285
(941) 488-2215",Catholic,Florida,2025-02-13T17:25:18.189618
North Kissimmee Christian School,7650.0,PK-12,"425 W Donegan Ave
Kissimmee, FL 34741
(407) 847-2877",Baptist,Florida,2025-02-13T17:25:18.190120
R School,7650.0,NS-12,"5873 North Dean Road
Orlando, FL 32817
(407) 385-0234",,Florida,2025-02-13T17:25:18.190120
Gateway Christian Academy,7700.0,PK-5,"2130 Nw 26th St
Fort Lauderdale, FL 33311
(954) 485-7012",Assembly of God,Florida,2025-02-13T17:25:18.190120
Holy Redeemer Catholic School,7700.0,NS-8,"1800 W Columbia Avenue
Kissimmee, FL 34741
(407) 870-9055",Catholic,Florida,2025-02-13T17:25:18.190120
The Rock School,7700.0,PK-12,"9818 SW 24th Ave
Gainesville, FL 32607
(352) 331-7625",Christian,Florida,2025-02-13T17:25:18.190730
Naples Adventist Christian School,7730.0,PK-8,"2629 Horseshoe Dr S
Naples, FL 34104
(239) 261-6227",Seventh Day Adventist,Florida,2025-02-13T17:25:18.190730
Faithful Hearts Academy Inc.,7750.0,1-11,"825 Forrest Ave
Cocoa, FL 32922
(321) 349-0152",,Florida,2025-02-13T17:25:18.190730
Atala Montessori School For Creative Expression,7800.0,PK-8,"240 N Krome Ave
Homestead, FL 33030
(786) 738-1210",,Florida,2025-02-13T17:25:18.190730
Beach Park School,7800.0,PK-8,"4200 W North A St
Tampa, FL 33609
(813) 380-0725",,Florida,2025-02-13T17:25:18.190730
Calusa Preparatory School,7800.0,K-12,"12515 Sw 72nd St
Miami, FL 33183
(305) 596-3787",Christian,Florida,2025-02-13T17:25:18.190730
Indigo Christian Junior Academy,7800.0,K-8,"401 N Williamson Blvd
Daytona Beach, FL 32114
(386) 255-5917",Seventh Day Adventist,Florida,2025-02-13T17:25:18.190730
Little Flower Catholic School,7800.0,NS-8,"6495 Lillian Highway
Pensacola, FL 32506
(850) 455-4851",Catholic,Florida,2025-02-13T17:25:18.190730
Manatee Learning Academy,7800.0,PK-12,"6210 17th Ave W
Bradenton, FL 34209
(941) 794-0088",,Florida,2025-02-13T17:25:18.190730
Mary Help Of Christians Catholic School,7800.0,K-8,"6000 N University Dr
Pompano Beach, FL 33067
(954) 323-8006",Catholic,Florida,2025-02-13T17:25:18.190730
Odessa Christian School,7800.0,K-12,"19521 Michigan Ave
Odessa, FL 33556
(813) 792-1825",Christian,Florida,2025-02-13T17:25:18.190730
Orlando Jewish Day School,7800.0,PK-8,"7347 W. Sand Lake Rd.
Orlando, FL 32819
(321) 948-6921",Jewish,Florida,2025-02-13T17:25:18.192235
Phyl's Academy,7800.0,NS-12,"7205 Royal Palm Blvd
Pompano Beach, FL 33063
(954) 731-7524",,Florida,2025-02-13T17:25:18.192235
Riverbend Academy,7800.0,PK-12,"2080 W Granada Blvd
Ormond Beach, FL 32174
(386) 615-0986",Baptist,Florida,2025-02-13T17:25:18.192235
Victory Christian Academy,7800.0,K-12,"1401 Griffin Road
Lakeland, FL 33810
(863) 858-5614",Assembly of God,Florida,2025-02-13T17:25:18.192235
Beaches Chapel School,7850.0,K-12,"610 Florida Blvd
Neptune Beach, FL 32266
(904) 241-4211",,Florida,2025-02-13T17:25:18.192757
Good Shepherd Episcopal School,7875.0,K-8,"1800 Shreve ST
Punta Gorda, FL 33950
(941) 575-2139",Episcopal,Florida,2025-02-13T17:25:18.192757
St. Paul's Catholic School,7875.0,NS-8,"1320 Sunshine Ave
Leesburg, FL 34748
(352) 787-4657",Catholic,Florida,2025-02-13T17:25:18.192757
First Baptist Christian School,7900.0,PK-12,"201 SW Ocean Blvd
Stuart, FL 34994
(772) 287-5161",Baptist,Florida,2025-02-13T17:25:18.192757
Pine Castle Christian Academy,7900.0,PK-12,"7101 Lake Ellenor Drive
Orlando, FL 32809
(407) 313-7222",Christian,Florida,2025-02-13T17:25:18.193288
Pinewood Christian Academy,7900.0,NS-9,"198 Knight Boxx Road
Middleburg, FL 32068
(904) 272-6408",Presbyterian,Florida,2025-02-13T17:25:18.193288
Stetson Baptist Christian School,7900.0,PK-8,"1025 W Minnesota Ave
Deland, FL 32720
(386) 734-7791",Baptist,Florida,2025-02-13T17:25:18.193288
Cathedral Parish School,7943.0,PK-8,"259 Saint George St
Saint Augustine, FL 32084
(904) 824-2861",Catholic,Florida,2025-02-13T17:25:18.193288
St. Teresa Catholic School,7985.0,PK-8,"207 Ojibway Ave
Titusville, FL 32780
(321) 267-1643",Catholic,Florida,2025-02-13T17:25:18.193288
Broach West Elementary School,8000.0,K-12,"12276 San Jose Blvd. Suite 528
Jacksonville, FL 32223
(904) 389-5106",,Florida,2025-02-13T17:25:18.193288
Ebenezer Christian School Inc.,8000.0,K-11,"530 SW 1st St
Homestead, FL 33034
(305) 394-9494",Christian,Florida,2025-02-13T17:25:18.193288
Fathers Harbor Academy,8000.0,K-12,"6565 Beach Blvd.
Jacksonville, FL 32216
(904) 306-9579",Christian,Florida,2025-02-13T17:25:18.193288
Hernando Christian Academy,8000.0,PK-12,"7200 Emerson Rd
Brooksville, FL 34601
(352) 796-0616",Christian,Florida,2025-02-13T17:25:18.193288
Lakewood Christian School,8000.0,PK-12,"6250 Old Bethel Rd, Crestview,FL 32536, United States
Crestview, FL 32536
(850) 683-1114",Christian,Florida,2025-02-13T17:25:18.194290
Lightwork Education & Wellness Center,8000.0,PK-12,"604 NW 12th Ave
Miami, FL 33136
(813) 629-2850",,Florida,2025-02-13T17:25:18.194290
Rocky Bayou Christian School,8000.0,PK-5,"951 S. Ferdon Blvd
Crestview, FL 32536
(850) 729-7227",Christian,Florida,2025-02-13T17:25:18.194290
Rocky Bayou Christian School - Niceville,8000.0,PK-12,"2101 Partin Drive N
Niceville, FL 32578
(850) 729-7227",Christian,Florida,2025-02-13T17:25:18.194290
St. Bonaventure Catholic School,8000.0,PK-8,"1301 SW 136th Ave
Fort Lauderdale, FL 33325
(954) 476-5200",Catholic,Florida,2025-02-13T17:25:18.194792
Tabernacle Christian S,8000.0,K-8,"51 Old Dixie Highway
Vero Beach, FL 32962
(772) 562-0723",Christian,Florida,2025-02-13T17:25:18.194792
Robert F. Munroe Day School,8050.0,PK-12,"28424 Blue Star Hwy
Tallahassee, FL 32303
(850) 856-5500",,Florida,2025-02-13T17:25:18.194792
Deltona Adventist School,8067.0,PK-8,"1717 Catalina Blvd #200
Deltona, FL 32738
(386) 532-9333",Seventh Day Adventist,Florida,2025-02-13T17:25:18.195294
Cornerstone Christian School,8100.0,PK-9,"317 MILWAUKEE AVE.
Dunedin, FL 34698
(727) 733-1438",Christian,Florida,2025-02-13T17:25:18.195294
University Christian School,8100.0,PK-12,"5520 University Blvd W
Jacksonville, FL 32216
(904) 737-6330",Baptist,Florida,2025-02-13T17:25:18.195294
